Designator,Mid X,Mid Y,Rotation,Layer
D00,122.965154,-60.142906,90.0,top
D01,125.269506,-60.142906,90.0,top
D02,127.584327,-60.142906,90.0,top
D03,129.892306,-60.142906,90.0,top
D04,132.198026,-60.142906,90.0,top
D05,134.5184,-60.1462,90.0,top
D06,136.8298,-60.1462,90.0,top
D07,139.1412,-60.1462,90.0,top
D08,141.4526,-60.1462,90.0,top
D09,143.764,-60.1462,90.0,top
D10,122.960302,-66.472737,90.0,top
D11,125.264654,-66.472737,90.0,top
D12,127.576054,-66.472737,90.0,top
D13,129.887454,-66.472737,90.0,top
D14,132.202927,-66.4718,90.0,top
D15,134.514327,-66.4718,90.0,top
D16,136.8298,-66.4718,90.0,top
D17,139.137127,-66.4718,90.0,top
D18,141.444454,-66.47074,90.0,top
D19,143.759927,-66.47074,90.0,top
D20,122.943048,-72.9478,90.0,top
D21,125.2474,-72.9478,90.0,top
D22,127.5842,-72.9478,90.0,top
D23,129.8956,-72.9478,90.0,top
D24,132.207,-72.9478,90.0,top
D25,134.5184,-72.9478,90.0,top
D26,136.8298,-72.9478,90.0,top
D27,139.1412,-72.9478,90.0,top
D28,141.4526,-72.9478,90.0,top
D29,143.764,-72.9478,90.0,top
SW00,38.1,-38.1,0.0,top
SW01,57.15,-38.1,0.0,top
SW02,76.2,-38.1,0.0,top
SW03,95.25,-38.1,0.0,top
SW04,114.3,-38.1,0.0,top
SW05,152.4,-38.1,0.0,top
SW06,171.45,-38.1,0.0,top
SW07,190.5,-38.1,0.0,top
SW08,209.55,-38.1,0.0,top
SW09,228.6,-38.1,0.0,top
SW10,38.1,-57.15,0.0,top
SW11,57.15,-57.15,0.0,top
SW12,76.2,-57.15,0.0,top
SW13,95.25,-57.15,0.0,top
SW14,114.3,-57.15,0.0,top
SW15,152.4,-57.150048,0.0,top
SW16,171.45,-57.15,0.0,top
SW17,190.5,-57.15,0.0,top
SW18,209.55,-57.15,0.0,top
SW19,228.6,-57.15,0.0,top
SW20,38.1,-76.2,0.0,top
SW21,57.15,-76.2,0.0,top
SW22,76.2,-76.2,0.0,top
SW23,95.25,-76.2,0.0,top
SW24,114.3,-76.2,0.0,top
SW25,152.4,-76.2,0.0,top
SW26,171.45,-76.2,0.0,top
SW27,190.5,-76.2,0.0,top
SW28,209.55,-76.2,0.0,top
SW29,228.6,-76.2,0.0,top
