Designator,Mid X,Mid Y,Rotation,Layer
D0,73.3611,30.2617,90.0,top
D1,76.0281,30.2618,90.0,top
D10,74.7581,23.4037,90.0,top
D11,77.4251,23.4037,90.0,top
D12,80.0921,23.4037,90.0,top
D13,82.7591,23.4037,90.0,top
D14,85.4261,23.4037,90.0,top
D15,88.0931,23.4038,90.0,top
D16,90.7601,23.2806,90.0,top
D17,93.3001,23.2806,90.0,top
D18,95.8401,23.2806,90.0,top
D19,70.6941,16.2879,90.0,top
D2,78.6951,30.2618,90.0,top
D20,73.3611,16.2879,90.0,top
D21,76.0281,16.2879,90.0,top
D22,78.6951,16.2879,90.0,top
D23,81.3621,16.2879,90.0,top
D24,84.0291,16.2917,90.0,top
D25,86.6961,16.2917,90.0,top
D26,89.3631,16.2917,90.0,top
D27,92.0301,16.2917,90.0,top
D28,94.6971,16.2917,90.0,top
D29,97.2371,16.2917,90.0,top
D3,81.3621,30.2617,90.0,top
D30,69.2971,9.0969,90.0,top
D31,71.9641,9.0969,90.0,top
D32,74.6311,9.1797,90.0,top
D33,77.2981,9.1797,90.0,top
D34,79.9651,9.1798,90.0,top
D35,82.6321,9.1797,90.0,top
D36,85.3022,9.068,90.0,top
D37,87.8763,9.1767,90.0,top
D38,90.4999,9.2247,90.0,top
D39,93.167,9.2247,90.0,top
D4,84.0291,30.2617,90.0,top
D40,95.7069,9.2727,90.0,top
D41,98.374,9.2727,90.0,top
D42,77.2981,2.0677,90.0,top
D43,79.7142,2.0677,90.0,top
D44,82.5082,2.0677,90.0,top
D45,85.3022,2.0677,90.0,top
D46,87.8763,2.0677,90.0,top
D47,90.5929,2.0677,90.0,top
D5,86.6961,30.2617,90.0,top
D6,89.3631,30.2618,90.0,top
D7,92.0301,30.2617,90.0,top
D8,94.5701,30.2617,90.0,top
D9,72.0911,23.4037,90.0,top
SW0,-30.7804,60.6505,350.0,top
SW1,-10.3604,66.7205,350.0,top
SW10,178.001,66.7357,10.0,top
SW11,198.4174,60.6625,10.0,top
SW12,-34.0904,41.8905,350.0,top
SW13,-13.6704,47.9605,350.0,top
SW14,5.9096,49.3505,350.0,top
SW15,26.3296,55.4205,350.0,top
SW16,43.4332,42.7374,350.0,top
SW17,60.5432,30.0573,350.0,top
SW18,107.091,30.0457,10.0,top
SW19,124.201,42.7457,10.0,top
SW2,9.2196,68.1105,350.0,top
SW20,141.311,55.4257,10.0,top
SW21,161.721,49.3557,10.0,top
SW22,181.301,47.9657,10.0,top
SW23,201.721,41.8957,10.0,top
SW24,-37.4004,23.1305,350.0,top
SW25,-16.9804,29.2005,350.0,top
SW26,2.6032,30.5874,350.0,top
SW27,23.0196,36.6605,350.0,top
SW28,40.1296,23.9705,350.0,top
SW29,57.2296,11.2805,350.0,top
SW3,29.6396,74.1805,350.0,top
SW30,110.401,11.2957,10.0,top
SW31,127.511,23.9757,10.0,top
SW32,144.621,36.6657,10.0,top
SW33,165.031,30.5957,10.0,top
SW34,184.6174,29.2025,10.0,top
SW35,205.031,23.1357,10.0,top
SW36,-20.2904,10.4505,350.0,top
SW37,-0.7004,11.8205,350.0,top
SW38,19.7132,17.8974,350.0,top
SW39,36.8196,5.2105,350.0,top
SW4,46.7496,61.4905,350.0,top
SW40,53.9193,-7.4855,350.0,top
SW41,72.68,-10.78,350.0,top
SW42,94.945,-10.7898,10.0,top
SW43,113.74,-7.442,10.0,top
SW44,130.821,5.2157,10.0,top
SW45,147.921,17.9057,10.0,top
SW46,168.341,11.8357,10.0,top
SW47,187.931,10.4457,10.0,top
SW5,63.8496,48.8005,350.0,top
SW6,103.781,48.8057,10.0,top
SW7,120.8874,61.4925,10.0,top
SW8,138.001,74.1857,10.0,top
SW9,158.411,68.1057,10.0,top
U0,75.1979,34.0436,0.0,top
